OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-03-14T19:39:30.748032,13.76505156,.00240749,90.2163,69.5669,214.2025,221.9831,0,U,900,999,5844,.71821461E-3,.713E-5,0
CALSPHERE 2,1964-063E,2026-03-14T22:45:43.111296,13.52892167,.00199133,90.2284,73.5560,136.5285,254.7274,0,U,902,999,84352,.95218479E-4,.72E-6,0
LCS 1,1965-034C,2026-03-14T20:36:12.896640,9.89309921,.00132248,32.1448,40.9875,148.4809,211.6483,0,U,1361,999,20054,-.12144447E-4,.8E-7,0
TEMPSAT 1,1965-065E,2026-03-14T21:55:17.429952,13.33589639,.00706682,89.9949,212.5842,152.1645,332.2223,0,U,1512,999,94748,.6432892E-4,.42E-6,0
CALSPHERE 4A,1965-065H,2026-03-14T21:36:19.885824,13.36260176,.00697544,89.9022,123.4220,11.5766,162.1620,0,U,1520,999,95011,.20668284E-3,.117E-5,0
OPS 5712 (P/L 160),1967-053A,2026-03-14T21:58:33.351456,14.76285850,.00038883,69.9160,269.1111,219.5640,140.5223,0,U,2826,999,5231,.16457979E-2,.11368E-3,0
LES-5,1967-066E,2026-03-14T17:41:56.245056,1.09425262,.00559467,2.4047,99.2717,209.1668,262.4176,0,U,2866,999,13000,0,-.64E-6,0
SURCAL 159,1967-053F,2026-03-14T17:58:30.405792,13.99577830,.00093171,69.9743,204.1807,246.6671,113.3457,0,U,2872,999,99699,.1257193E-3,.13E-5,0
OPS 5712 (P/L 153),1967-053H,2026-03-14T22:57:37.855296,13.96812959,.00093656,69.9752,317.2826,305.0443,54.9784,0,U,2874,999,99362,.8381717E-4,.63E-6,0
OPS 3811 (DSP 2),1971-039A,2026-03-14T19:25:17.595552,0.98160178,.00235315,0.2348,4.1358,289.1326,219.0348,0,U,5204,999,20530,0,-.22E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-03-14T21:23:11.516064,14.37751499,.00595003,87.6277,4.9695,183.5411,176.5376,0,U,5398,999,86033,.25125032E-3,.789E-5,0
OSCAR 7 (AO-7),1974-089B,2026-03-14T21:39:50.688864,12.53696509,.00119433,101.9966,86.1487,312.0070,113.5034,0,U,7530,999,34870,.19097808E-3,-.16E-6,0
STARLETTE,1975-010A,2026-03-14T21:27:39.508128,13.82349253,.02055816,49.8221,116.7859,111.5347,250.7594,0,U,7646,999,58149,.9067136E-5,-.133E-5,0
LAGEOS 1,1976-039A,2026-03-14T21:09:47.424096,6.38664871,.00446631,109.8157,147.0602,322.4845,209.7624,0,U,8820,999,90711,0,0,0
OPS 8701 (DSP 10),1982-019A,2026-03-14T20:34:21.184032,0.98190340,.0004691,9.4821,309.8889,324.1163,224.4948,0,U,13086,999,2473,0,-.133E-5,0
PHASE 3B (AO-10),1983-058B,2026-03-13T16:53:27.645216,2.05870209,.60452846,25.9213,235.5807,89.2129,335.2286,0,U,14129,999,29352,0,.107E-5,0
UOSAT 2 (UO-11),1984-021B,2026-03-14T21:50:19.498560,14.90526997,.00087397,97.7954,40.6105,128.4225,231.7779,0,U,14781,999,24308,.19575585E-3,.1858E-4,0
AJISAI (EGS),1986-061A,2026-03-14T22:31:38.821728,12.44515686,.00112879,50.0083,77.2062,300.5356,143.1437,0,U,16908,999,46865,.82681588E-4,-.86E-6,0
TDRS 3,1988-091B,2026-03-14T04:51:38.553120,1.00275639,.00424289,12.6751,341.6235,353.8077,220.4028,0,U,19548,999,12443,0,-.291E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-03-14T01:53:42.917280,2.13156113,.00234193,64.8905,75.4467,217.5929,205.2239,0,U,19751,999,28934,0,.54E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-03-14T11:42:55.027296,2.13204639,.00204659,64.9913,313.8001,213.3549,304.6227,0,U,20026,999,28648,0,-.14E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-03-14T16:20:09.640032,1.00282205,.00083471,12.4478,351.7301,349.8228,201.2281,0,U,20253,999,25961,0,-.36E-5,0
LUSAT (LO-19),1990-005G,2026-03-14T18:48:57.935232,14.34090436,.00125315,98.8932,92.9553,120.6273,239.6149,0,U,20442,999,88886,.84802688E-4,.191E-5,0
HST,1990-037B,2026-03-14T21:38:18.697920,15.29574848,.00017639,28.4725,4.4435,178.3433,181.7169,0,U,20580,999,77411,.31210791E-3,.9443E-4,0
SKYNET 4C,1990-079A,2026-03-13T22:23:52.120032,1.00275698,.00033022,13.3702,350.4594,17.1185,173.3126,0,U,20776,999,12993,0,.134E-5,0
USA 65 (DSP 15),1990-095A,2026-03-14T08:37:38.625312,0.98397194,.00038545,14.0623,344.6992,67.0044,113.4750,0,U,20929,999,2453,0,-.32E-6,0
TDRS 5,1991-054B,2026-03-14T13:14:38.571648,1.00270774,.00098439,14.0830,354.4745,276.6361,292.0340,0,U,21639,999,12676,0,.91E-6,0
USA 75 (DSP 16),1991-080B,2026-03-14T22:16:26.393664,0.99188871,.00034284,14.0540,346.1764,71.1514,104.6522,0,U,21805,999,2477,0,-.88E-6,0
LAGEOS 2,1992-070B,2026-03-14T17:09:38.236896,6.47293408,.01377285,52.6765,326.3697,146.0143,77.7069,0,U,22195,999,78930,0,-.9E-7,0
TDRS 6,1993-003B,2026-03-14T03:51:41.429088,1.00275205,.00051604,14.1813,357.7641,196.8670,349.2379,0,U,22314,999,12145,0,-.288E-5,0
SCD 1,1993-009B,2026-03-14T08:03:43.512192,14.46071065,.00417968,24.9695,73.2039,213.7890,169.6949,0,U,22490,999,74737,.85362901E-4,.499E-5,0
